restaurant_name,city_id,restaurant_id,province_id,average_price,average_score,restaurant_type,Beijing,Tianjin,Hebei,Shanxi,Nei Mongol,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi2,Gansu,Qinghai,Ningxia,Xinjiang,not-spicy,slightly-spicy,medium-spicy,extra-spicy,child,teenager,adult,middle-ager,elderly,breakfast,lunch,dinner,afternoon-tea,night-snack,male,female,price,is_chain,image_name
门框胡同百年卤煮,2,3,1,50,4.1,1,5,5,4,4,3,3,3,3,4,4,4,3,3,3,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,2,4,3,3,3,3,3,3,1,2,3,3,2,0,2-3.jpg
达美乐比萨,2,4,1,58,4.5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0,0,4,4,4,4,2,3,4,4,4,5,3,3,3,1,2-4.jpg
紫光园烤鸭,2,5,1,82,4.8,1,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,0,4,4,4,1,3,2,4,4,3,3,4,3,3,0,2-5.jpg
河沿肉饼Beijing Pie,2,6,1,63,4.5,1,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,0,4,4,4,4,4,5,3,3,1,3,4,3,3,0,2-6.jpg
京味肴,2,7,1,39,4.8,1,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,0,3,3,3,3,3,2,3,3,2,2,4,4,3,0,2-7.jpg
门钉肉饼,2,8,1,32,3.8,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,4,5,5,5,5,3,3,3,4,4,2,1,1,0,0,2,4,5,5,3,5,4,4,5,4,5,4,2,0,2-8.jpg
北平食坊·北京烤鸭,2,9,1,83,4.6,1,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,1,0,0,0,5,5,5,5,3,1,5,5,3,2,5,4,5,1,2-9.jpg
袁记云饺,2,10,1,29,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,3,4,4,3,2,5,4,4,3,5,4,5,3,1,2-10.jpg
新侨三宝乐面包店,2,11,1,45,3.8,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,2,4,4,3,3,3,1,0,0,0,4,5,5,3,2,5,3,3,4,2,2,4,3,0,2-11.jpg
北门烧烤,2,12,1,63,3.8,6,4,4,3,3,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,1,1,1,1,2,4,5,3,2,1,3,5,2,5,4,4,3,0,2-12.jpg
北京全聚德,2,13,1,163,3.9,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,0,0,0,4,5,5,5,4,1,5,5,3,3,5,5,5,0,2-13.jpg
沙县小吃,2,14,1,43,3.6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,3,3,3,3,2,3,3,2,3,3,3,2,1,2-14.jpg
爷爷不泡茶 NOYEYENOTEA,2,15,1,17,4.1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,3,4,4,2,1,2,3,3,5,2,2,4,2,1,2-15.jpg
KFC,2,16,1,36,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,2-16.jpg
必胜客,2,17,1,66,4.1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,2-17.jpg
麦当劳,2,18,1,34,3.7,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,2-18.jpg
如意馄饨,2,19,1,26,3.6,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,2-19.jpg
喜茶,2,20,1,23,3.9,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,2-20.jpg
湖苑餐厅,3,1,2,89,4.8,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-1.jpg
燕春楼,3,2,2,117,4,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-2.jpg
宽记老门口,3,3,2,80,4.8,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-3.jpg
塘沽宴,3,4,2,85,4.5,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-4.jpg
顺兴德·天津菜馆,3,5,2,70,4.4,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-5.jpg
桥头堡·坤德餐厅,3,6,2,68,4.7,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-6.jpg
九河香舍·民国文人菜,3,7,2,100,4.7,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-7.jpg
津武刁馋一锅出,3,8,2,62,4.4,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-8.jpg
华竹食府,3,9,2,83,4.1,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-9.jpg
来顺成饭庄,3,10,2,91,4.4,1,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,0,2,3,4,3,3,1,3,3,2,2,3,3,4,0,3-10.jpg
大铁勺新津菜,3,11,2,76,4.6,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-11.jpg
卫鼎轩·曹公馆,3,12,2,200,4.6,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-12.jpg
清真·二嫂子煎饼果子,3,13,2,13,3.6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,0,2,3,4,3,3,1,3,3,2,2,3,3,4,0,3-13.jpg
狗不理,3,14,2,100,4.3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,0,0,3,3,3,3,3,2,3,3,3,2,3,3,3,0,3-14.jpg
KFC,3,15,2,36,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,3-15.jpg
