restaurant_name,city_id,restaurant_id,province_id,average_price,average_score,restaurant_type,Beijing,Tianjin,Hebei,Shanxi,Nei Mongol,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,Guangxi,Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Xizang,Shanxi2,Gansu,Qinghai,Ningxia,Xinjiang,not-spicy,slightly-spicy,medium-spicy,extra-spicy,child,teenager,adult,middle-ager,elderly,breakfast,lunch,dinner,afternoon-tea,night-snack,male,female,price,is_chain,image_name
沙县小吃,5,20,18,43,3.6,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,3,3,3,3,1,4,4,4,4,4,3,3,3,1,5-20.jpg
哈尔滨老式锅包肉(汉口大街店),6,1,7,43,4.8,1,5,5,4,3,4,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,4,3,3,3,2,3,3,2,3,3,1,0,0,0,4,3,3,3,4,1,5,5,1,2,3,3,3,0,6-1.jpg
马家饭堂(一匡街店),6,2,7,60,4.4,1,5,5,4,3,4,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,4,3,3,3,2,3,3,2,3,3,1,0,0,0,3,3,3,3,4,1,5,5,1,2,3,3,4,0,6-2.jpg
朴老五延边大冷面(总店),6,3,7,46,4.5,3,4,4,4,3,4,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,4,3,3,3,2,3,3,2,3,3,1,1,1,0,3,3,4,3,3,1,5,5,1,2,3,3,3,0,6-3.jpg
清真·兰圣斋牛羊小饭馆·馅饼·爆肚·回族特色菜(长春站西广场店),6,4,7,64,4.7,1,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,1,0,0,0,3,3,3,3,4,3,5,5,1,2,3,3,4,0,6-4.jpg
遇见南洋小馆(宽城万达店),6,5,7,70,4.7,1,3,3,4,4,2,3,2,3,3,3,4,4,4,3,4,2,3,3,3,3,5,1,1,3,3,2,3,1,3,3,1,1,0,0,0,3,3,3,3,4,3,5,5,1,2,3,3,4,0,6-5.jpg
三俞竹苑(宽城万达店),6,6,7,85,4.6,1,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,1,2,2,3,2,2,1,5,5,1,2,3,3,5,0,6-6.jpg
胜利锅烙(南广场总店),6,7,7,32,4.1,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,4,3,3,3,4,2,5,5,1,2,3,3,3,0,6-7.jpg
孙家外婆菜(宽城万达店),6,8,7,56,4.3,1,4,4,4,4,5,4,5,5,4,3,3,3,3,4,3,5,4,5,4,3,3,5,5,5,3,3,5,3,5,5,4,1,0,0,0,3,3,3,3,4,5,5,4,1,2,3,3,4,0,6-8.jpg
麦当劳(长春站候车大厅店),6,9,7,38,4.1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,1,0,0,0,4,3,3,3,4,2,5,5,1,2,3,3,3,1,6-9.jpg
志铭家辣椒炒肉(宽城万达店),6,10,7,64,4.2,1,3,3,3,3,2,2,2,2,1,1,1,2,1,2,2,3,2,5,1,2,1,4,4,4,4,1,3,3,1,2,1,1,1,1,0,2,3,4,3,3,1,5,5,1,3,3,3,4,0,6-10.jpg
肯德基(长春站内店),6,11,7,36,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,1,0,0,0,4,3,3,3,4,2,5,5,1,2,3,3,3,1,6-11.jpg
王祖抻面馆(一匡街店),6,12,7,16,4.1,3,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,4,4,3,2,4,2,5,5,1,2,3,3,1,0,6-12.jpg
曾三仙米线(宽城万达店),6,13,7,23,4.3,3,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,4,4,4,3,4,2,5,5,1,2,3,3,2,0,6-13.jpg
真香小锅饭,6,14,7,43,4.3,1,5,5,4,3,4,5,5,5,2,2,2,2,2,3,3,3,3,2,2,2,2,4,3,3,3,2,3,3,2,3,3,1,0,0,0,4,3,3,3,4,1,5,5,1,2,3,3,3,0,6-14.jpg
红叶狗肉馆(东一条街店),6,15,7,46,4.4,1,4,4,4,3,4,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,4,3,3,3,2,3,3,2,3,3,1,0,0,0,4,3,3,3,4,1,4,5,1,5,4,4,3,0,6-15.jpg
井家(百洋大厦店),6,16,7,49,4.3,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,1,0,0,0,4,3,3,3,4,1,5,5,2,1,3,3,3,0,6-16.jpg
老北京正宗卤煮火烧(嫩江路店),6,17,7,30,4.2,1,5,4,3,3,3,3,3,3,2,2,2,2,2,2,3,3,2,2,1,2,2,3,3,3,2,2,3,3,2,2,2,1,0,0,0,4,4,4,3,4,2,5,5,1,2,3,3,2,0,6-17.jpg
富记老上海馄饨铺(桂林路店),6,18,7,21,4.5,3,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,3,3,3,1,0,0,0,4,4,4,3,4,2,5,5,1,2,3,3,2,0,6-18.jpg
顺玉朝族冷面店,6,19,7,25,4,3,4,4,4,3,4,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,4,3,3,3,2,3,3,2,3,3,1,0,0,0,4,4,4,3,4,2,5,5,1,2,3,3,2,0,6-19.jpg
秀园餐厅(西安大路店),6,20,7,46,4.2,1,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,1,2,2,4,3,2,2,5,5,1,2,3,3,3,0,6-20.jpg
西月城谭豆花,7,1,23,27,4.1,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,3,4,4,3,3,2,3,3,5,3,3,3,2,0,7-1.jpg
马旺子·川小馆,7,2,23,119,4.4,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,2,3,3,2,2,1,5,5,1,2,3,3,5,0,7-2.jpg
组织向南川菜馆,7,3,23,93,4.3,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,1,2,2,3,2,2,1,5,5,1,2,3,3,5,0,7-3.jpg
陶德砂锅,7,4,23,60,4.8,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,0,0,3,3,3,3,3,1,5,5,1,2,3,3,4,1,7-4.jpg
钟水饺,7,5,23,32,4.2,3,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,3,3,4,3,3,2,5,5,1,2,3,3,3,1,7-5.jpg
甘记肥肠粉,7,6,23,19,3.9,3,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,2,3,4,3,2,2,5,5,1,2,3,3,1,1,7-6.jpg
王婆婆老妈蹄花川菜馆,7,7,23,60,4.3,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,1,2,2,4,3,2,1,5,5,1,2,3,3,4,0,7-7.jpg
饭团匠·料理小食堂,7,8,23,79,4.7,1,4,4,4,3,4,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,4,3,3,3,2,3,3,2,3,3,1,0,0,0,3,3,2,2,3,1,5,5,1,1,3,3,5,0,7-8.jpg
陈麻婆豆腐,7,9,23,68,4.2,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,0,0,0,3,3,3,3,4,1,5,5,1,2,3,3,4,1,7-9.jpg
到家张醪糟,7,10,23,22,4.4,4,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,2,1,7-10.jpg
颜氏跷脚牛肉,7,11,23,65,4.7,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,2,3,4,3,3,1,5,5,1,2,3,3,4,0,7-11.jpg
华兴街自力面店,7,12,23,17,4.1,3,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,3,4,4,3,3,5,5,4,1,2,3,3,1,0,7-12.jpg
晓友烧麦,7,13,23,21,4.3,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,2,0,7-13.jpg
酥小蒙牛肉饼店,7,14,23,9,4,1,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,0,0,0,4,4,3,2,4,5,5,5,1,1,3,3,1,0,7-14.jpg
拾光三味·川派小吃集,7,15,23,16,4.2,4,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,1,0,7-15.jpg
刘老十脑花面,7,16,23,21,4,3,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,3,4,4,3,3,5,5,4,1,2,3,3,2,0,7-16.jpg
张醪糟粉子,7,17,23,18,4.3,4,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,3,4,4,3,3,5,5,4,1,2,3,3,1,1,7-17.jpg
荣荣记云南过桥米线,7,18,23,23,4,3,4,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,5,2,3,2,2,2,2,1,1,1,0,3,4,4,3,3,5,5,5,3,2,3,3,2,0,7-18.jpg
海椒市落舌·非遗手工冒菜,7,19,23,30,4,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,3,4,4,3,3,5,5,4,1,2,3,3,2,0,7-19.jpg
冯四孃跷脚牛肉,7,20,23,52,4.6,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,1,2,2,4,3,2,1,5,5,1,2,3,3,4,1,7-20.jpg
乡烟起·福建闽北菜,8,1,13,75,4.7,1,2,2,3,3,1,2,2,2,3,4,4,4,5,3,2,2,3,3,4,2,1,3,3,1,3,1,2,2,1,1,1,1,1,1,0,2,3,3,2,2,1,5,5,1,2,3,3,5,0,8-1.jpg
林小厨·福建家常菜,8,2,13,65,4.4,1,2,2,3,3,1,2,2,2,3,4,4,4,5,3,2,2,3,3,4,2,1,3,3,1,3,1,2,2,1,1,1,1,1,1,0,2,3,4,3,3,1,5,5,1,3,3,3,4,0,8-2.jpg
就是啫,8,3,13,37,4.5,1,4,4,3,3,2,3,3,3,4,4,4,4,4,2,3,3,3,3,5,1,1,3,3,2,3,1,3,3,1,1,1,1,0,0,0,4,3,3,3,4,1,5,5,1,3,3,3,3,0,8-3.jpg
破落孃孃·重庆烧菜馆,8,4,13,56,4.8,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,1,2,2,4,3,2,1,5,5,1,3,3,3,4,0,8-4.jpg
醉得意·家常菜,8,5,13,39,4.3,1,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,3,3,4,3,3,1,5,5,1,2,3,3,3,0,8-5.jpg
肥妈砂锅,8,6,13,20,4,1,5,5,4,4,3,4,4,4,5,5,5,4,3,4,4,4,3,4,5,4,4,4,4,4,4,3,4,4,3,3,3,1,1,1,0,3,4,4,3,3,5,5,4,1,2,3,3,1,0,8-6.jpg
尚干小吃(火车站店),8,7,13,25,3.6,4,5,5,4,4,3,4,4,4,5,5,5,4,3,4,4,4,3,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,4,4,3,3,4,2,5,5,1,2,3,3,2,0,8-7.jpg
麦当劳,8,8,13,35,4.3,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,1,0,0,0,4,3,3,3,4,2,5,5,1,2,3,3,3,1,8-8.jpg
华莱士,8,9,13,22,3.6,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,2,1,8-9.jpg
阿川牛肉面,8,10,13,22,4.2,3,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,4,4,4,3,4,2,5,5,1,2,3,3,2,0,8-10.jpg
塔斯汀中国汉堡,8,11,13,18,4,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,1,1,8-11.jpg
梁哥川味烧烤大排档(,8,12,13,67,4.1,6,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,2,3,4,3,3,2,5,5,1,2,4,4,4,0,8-12.jpg
德克士,8,13,13,35,4.1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,1,1,1,0,3,3,4,3,3,1,3,5,1,5,3,3,3,1,8-13.jpg
木洒拉面大王,8,14,13,23,3.9,3,4,4,3,3,5,5,5,5,4,3,3,3,3,4,3,5,4,5,4,3,3,5,5,5,3,3,5,3,5,5,4,1,1,0,0,3,4,4,3,3,2,5,5,1,2,3,3,2,0,8-14.jpg
周麻婆·新川式家常菜,8,15,13,44,4.3,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,3,3,4,3,3,5,5,4,1,2,3,3,3,0,8-15.jpg
回味面庄祖传秘方,8,16,13,20,4,3,4,4,3,3,5,5,5,5,4,3,3,3,3,4,3,5,4,5,4,3,3,5,5,5,3,3,5,3,5,5,4,1,1,1,0,3,4,4,3,3,1,5,5,1,2,3,3,1,0,8-16.jpg
金誉烘焙,8,17,13,10,3.7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,3,3,3,2,3,5,5,4,1,2,3,3,1,0,8-17.jpg
永和豆浆,8,18,13,33,3.2,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,3,3,3,3,3,4,3,3,5,3,3,3,3,1,8-18.jpg
卲武张元肉包,8,19,13,12,4,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,4,4,3,2,4,2,5,5,1,2,3,3,1,0,8-19.jpg
喜姐炸串,8,20,13,13,3.8,6,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,2,3,4,3,2,2,5,5,1,2,3,3,1,0,8-20.jpg
禄运茶居·手工点心,9,1,19,69,4.5,4,4,4,3,3,2,3,3,3,4,4,4,4,4,2,3,3,3,3,5,1,1,3,3,2,3,1,3,3,1,1,1,1,0,0,0,3,3,3,3,4,1,5,5,1,2,3,3,4,0,9-1.jpg
玲又珑美食,9,2,19,31,4.1,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,3,4,3,3,1,5,5,1,3,3,3,3,0,9-2.jpg
五代同糖·糖水甜品专门·店,9,3,19,28,4.3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,4,4,4,3,4,2,5,5,1,2,3,3,2,0,9-3.jpg
拾椒川小馆·酸菜,9,4,19,58,4.6,1,3,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,4,3,2,2,2,5,5,4,4,2,4,3,3,2,2,1,1,1,0,2,3,4,3,3,2,2,2,5,3,3,3,4,0,9-4.jpg
流花苑精致潮粤菜,9,5,19,63,4.4,1,4,4,3,3,2,3,3,3,4,4,4,4,4,2,3,3,3,3,5,1,1,3,3,2,3,1,3,3,1,1,1,1,0,0,0,3,3,3,3,4,1,5,5,1,2,3,3,4,0,9-5.jpg
文记·金雕鱼生·砂锅粥,9,6,19,72,3.9,1,4,4,3,3,2,3,3,3,4,4,4,4,4,2,3,3,3,3,5,1,1,3,3,2,3,1,3,3,1,1,1,1,0,0,0,3,2,2,2,3,1,5,5,1,3,3,3,5,0,9-6.jpg
三个辣椒湖南牛肉粉,9,7,19,26,4.7,3,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,4,4,3,3,1,5,5,1,3,3,3,2,0,9-7.jpg
麦当劳,9,8,19,23,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,1,1,0,0,3,4,4,3,4,2,5,5,1,2,3,3,2,1,9-8.jpg
真功夫(友谊剧院店),9,9,19,26,4.6,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,4,4,4,3,4,2,5,5,1,2,3,3,2,1,9-9.jpg
五味小面·重庆招牌(城壹汇·流花店),9,10,19,23,4.1,3,4,4,3,3,5,5,5,5,4,3,3,3,3,4,3,5,4,5,4,3,3,5,5,5,3,3,5,3,5,5,4,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,2,0,9-10.jpg
粒上皇(西华路店),9,11,19,15,4.2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,0,0,0,4,4,3,2,4,5,5,4,1,2,3,3,1,0,9-11.jpg
萨兰德·新疆美食(火车站分店),9,12,19,52,4.7,1,4,4,4,3,4,3,3,3,2,2,2,2,2,2,3,2,2,1,1,1,1,2,2,2,2,4,3,4,4,4,5,1,0,0,0,3,3,3,3,4,2,2,2,5,3,3,3,4,0,9-12.jpg
潮人潮品隆江猪脚饭(城壹汇·流花店),9,13,19,20,4.1,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,4,4,3,2,4,1,5,5,1,2,3,3,1,0,9-13.jpg
猪嗷嗷设计师杀猪粉(越秀公园店),9,14,19,21,4,3,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,0,0,3,4,4,3,4,2,5,5,1,2,3,3,2,0,9-14.jpg
必胜客(城壹汇店),9,15,19,49,4.5,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,1,0,0,0,4,3,3,3,4,2,5,5,1,2,3,3,3,1,9-15.jpg
拌饭达人石锅拌饭(城壹汇·流花店),9,16,19,28,4.2,1,4,4,4,3,4,5,5,5,2,2,2,2,2,3,3,3,3,3,2,2,2,4,3,3,3,2,3,3,2,3,3,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,2,0,9-16.jpg
遇见小面(站西路店),9,17,19,26,4.4,3,4,4,3,3,5,5,5,5,4,3,3,3,3,4,3,5,4,5,4,3,3,5,5,5,3,3,5,3,5,5,4,1,1,1,0,3,4,4,3,3,2,5,5,1,3,3,3,2,1,9-17.jpg
本穆青海牛肉拉面(国际会议中心店),9,18,19,28,4.3,3,4,4,3,3,5,5,5,5,4,3,3,3,3,4,3,5,4,5,4,3,3,5,5,5,3,3,5,3,5,5,4,1,0,0,0,4,4,4,3,4,5,5,4,1,2,3,3,2,0,9-18.jpg
樊阿姨肉夹馍手工面(站前店),9,19,19,19,4,3,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,4,4,3,3,5,5,4,1,2,3,3,1,0,9-19.jpg
港澳道,9,20,19,24,3.8,1,4,4,3,3,2,3,3,3,4,4,4,4,4,2,3,3,3,3,5,1,1,3,3,2,3,1,3,3,1,1,1,1,0,0,0,4,4,3,3,4,2,5,5,1,2,3,3,2,0,9-20.jpg
瑞小厨贵州菜(万象城店),10,1,24,69,4.7,1,2,2,2,1,1,2,2,2,2,2,2,3,3,3,2,2,3,4,1,3,3,4,4,5,3,1,4,3,3,2,1,1,1,0,0,3,3,3,3,3,5,4,3,5,1,3,3,4,0,10-1.jpg
贵城烙锅(狮峰路店),10,2,24,51,4.7,1,2,2,2,1,1,2,2,2,2,2,2,3,3,3,2,2,3,4,1,3,3,4,4,5,3,1,4,3,3,2,1,1,1,1,0,2,3,4,3,3,1,5,5,1,3,3,3,4,0,10-2.jpg
怪噜范·老贵阳街头名小吃(鸿通城店),10,3,24,50,4.6,1,2,2,2,1,1,2,2,2,2,2,2,3,3,3,2,2,3,4,1,3,3,4,4,5,3,1,4,3,3,2,1,1,1,1,0,3,3,4,3,3,1,5,5,1,3,3,3,3,0,10-3.jpg
丝恋丝娃娃(万象城店),10,4,24,52,4.6,1,2,2,2,1,1,2,2,2,2,2,2,3,3,3,2,2,3,4,1,3,3,4,4,5,3,1,4,3,3,2,1,1,1,1,0,2,3,4,3,3,1,5,5,1,3,3,3,4,0,10-4.jpg
树厨贵州菜(大十字店),10,5,24,52,4.5,1,2,2,2,1,1,2,2,2,2,2,2,3,3,3,2,2,3,4,1,3,3,4,4,5,3,1,4,3,3,2,1,1,1,1,0,2,3,4,3,3,1,5,5,1,3,3,3,4,0,10-5.jpg
蒋家肠旺面馆(合群路店),10,6,24,17,4.3,3,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,4,4,3,3,1,5,5,1,3,3,3,1,0,10-6.jpg
黄记煌三汁焖锅(花果园店),10,7,24,60,4.4,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,0,0,0,3,3,3,3,4,2,5,5,1,2,3,3,4,0,10-7.jpg
但家香酥鸭(甄选·兴关路店),10,8,24,27,4.2,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,2,0,10-8.jpg
门庭院拌饭宫保菜,10,9,24,79,3.4,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,2,2,3,2,2,2,5,5,1,2,3,3,5,0,10-9.jpg
雲水橋野山菌过桥米线(万象城店),10,10,24,38,4.5,3,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,3,4,3,3,2,5,5,1,2,3,3,3,0,10-10.jpg
德克士(花果园店),10,11,24,28,4.5,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,1,0,0,0,4,4,4,3,4,2,5,5,1,2,3,3,2,1,10-11.jpg
陈婆婆钵钵鸡(方圆荟·海豚广场店),10,12,24,32,4.1,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,3,4,3,3,2,5,5,1,2,3,3,3,0,10-12.jpg
老味道遵义虾子羊肉粉(兴关路店),10,13,24,16,4.4,3,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,1,0,10-13.jpg
肯德基(花果园店),10,14,24,27,4.3,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,2,1,10-14.jpg
世代雷家豆腐圆子(青云市集店),10,15,24,13,4.2,1,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,1,1,1,0,3,4,4,3,3,2,5,5,1,2,3,3,1,0,10-15.jpg
小江溪·江西小炒(贵阳万象城店),10,16,24,60,4.4,1,2,2,3,3,1,3,3,3,2,2,2,3,1,5,3,3,3,4,1,1,2,4,4,3,3,1,3,3,1,1,1,1,1,1,0,2,3,4,3,3,2,5,5,1,2,3,3,4,0,10-16.jpg
广味园粤菜茶点(青云路店),10,17,24,70,4.2,4,4,4,3,3,2,3,3,3,4,4,4,4,4,2,3,3,3,3,5,1,1,3,3,2,3,1,3,3,1,1,1,1,0,0,0,3,3,3,3,4,1,5,5,1,3,3,3,4,0,10-17.jpg
三姨孃爆炒三肠(花果园M区店),10,18,24,49,4.7,1,2,2,2,1,1,2,2,2,2,2,2,3,3,3,2,2,3,4,1,3,3,4,4,5,3,1,4,3,3,2,1,1,1,1,0,3,3,4,3,3,1,5,5,1,3,3,3,3,0,10-18.jpg
小雅木姜子烤鸡·贵阳菜(鸿通城店),10,19,24,64,4.4,1,2,2,2,1,1,2,2,2,2,2,2,3,3,3,2,2,3,4,1,3,3,4,4,5,3,1,4,3,3,2,1,1,1,1,0,2,3,4,3,3,1,5,5,1,3,3,3,4,0,10-19.jpg
常姥姥家·东北菜,10,20,24,56,4.7,1,5,5,4,3,4,5,5,5,2,2,2,2,2,3,3,3,3,2,2,2,2,4,3,3,3,2,3,3,2,3,3,1,0,0,0,3,3,3,3,4,1,5,5,1,3,3,3,4,0,10-20.jpg
